               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099697,            0.054129,            0.037041,           0.0027438,             0.11678,           0.0018036,          0.00053217,              0.0844,            0.051516,            0.035003,             0.00151,             0.00151,             0.08641
                   1,            0.092088,            0.056917,            0.034687,           0.0049328,            0.013267,           0.0020449,          0.00036829,            0.085199,            0.050895,            0.034417,           0.0030293,           0.0030293,            0.072729
                   2,            0.089245,            0.059409,             0.03368,           0.0055717,            0.024876,           0.0031209,          0.00063294,            0.084256,            0.049668,            0.033711,            0.004546,            0.004546,            0.059046
                   3,            0.085069,            0.057119,            0.031625,            0.039544,             0.21144,            0.023546,           0.0047989,            0.078114,            0.050286,            0.031366,           0.0060579,           0.0060579,            0.045358
                   4,            0.078127,            0.054867,            0.026887,             0.14412,             0.26634,            0.080916,            0.020037,             0.07134,            0.050639,            0.025444,           0.0075631,           0.0075631,            0.031663
                   5,            0.073284,            0.054344,            0.023376,             0.19415,             0.26229,             0.11593,            0.028263,            0.068216,            0.045437,             0.02268,           0.0090595,           0.0090595,             0.01796
                   6,            0.069409,             0.05228,            0.021427,             0.32463,             0.30293,             0.21957,            0.058513,            0.063316,            0.043007,            0.020838,           0.0099203,           0.0099203,           0.0099203
                   7,            0.064209,            0.050674,            0.020088,             0.41157,             0.45983,             0.34368,             0.10737,            0.058769,            0.039853,            0.019227,           0.0099203,           0.0099203,           0.0099203
                   8,            0.061674,             0.04865,            0.018215,             0.49282,             0.46193,              0.4378,             0.15121,            0.056985,            0.039824,             0.01664,           0.0098916,           0.0098916,           0.0098916
                   9,            0.059924,            0.048639,            0.016996,             0.52051,             0.44471,             0.43453,             0.14619,            0.058493,            0.039343,            0.016961,           0.0098586,           0.0098586,           0.0098586
                  10,            0.057529,            0.047007,             0.01544,             0.62469,             0.49708,             0.53663,             0.18965,            0.054632,            0.037669,            0.013701,           0.0098213,           0.0098213,           0.0098213
                  11,            0.056111,            0.046116,            0.014794,             0.63134,             0.56677,             0.58876,             0.21254,            0.052405,            0.036449,            0.013183,           0.0097798,           0.0097798,           0.0097798
                  12,            0.055168,            0.045967,             0.01405,             0.67434,             0.61389,             0.66043,             0.24989,            0.049853,            0.035824,            0.011154,            0.009734,            0.009734,            0.009734
                  13,            0.052936,            0.045455,            0.013397,             0.71233,             0.60319,             0.66506,             0.25192,            0.049536,             0.03487,            0.011901,            0.009684,            0.009684,            0.009684
                  14,            0.052257,             0.04544,            0.012807,             0.69827,             0.62455,             0.67664,             0.26671,            0.048333,            0.034765,            0.011039,           0.0096299,           0.0096299,           0.0096299
                  15,            0.051061,            0.044183,            0.012485,             0.70151,             0.60457,             0.67347,             0.26179,              0.0491,            0.034823,            0.010568,           0.0095717,           0.0095717,           0.0095717
                  16,            0.050748,            0.043796,            0.011759,             0.75129,             0.66593,              0.7266,             0.28977,            0.047447,            0.033285,           0.0096619,           0.0095095,           0.0095095,           0.0095095
                  17,            0.049767,            0.043383,            0.011793,             0.77565,             0.66566,             0.74371,             0.30931,            0.046257,            0.033115,           0.0094183,           0.0094434,           0.0094434,           0.0094434
                  18,            0.049628,            0.042896,            0.011547,             0.75527,             0.69004,             0.74924,             0.31844,            0.046064,            0.032666,           0.0098263,           0.0093733,           0.0093733,           0.0093733
                  19,            0.048833,            0.042322,            0.011406,             0.79068,             0.70269,             0.75894,             0.32232,            0.046003,            0.032396,           0.0090885,           0.0092995,           0.0092995,           0.0092995
                  20,            0.048129,            0.042328,            0.010748,              0.7726,             0.68604,             0.74567,             0.31137,            0.045554,            0.032497,           0.0098355,           0.0092219,           0.0092219,           0.0092219
                  21,            0.048181,            0.043265,            0.010845,             0.76061,             0.71408,             0.76962,              0.3281,            0.045142,             0.03185,           0.0087908,           0.0091406,           0.0091406,           0.0091406
                  22,            0.047577,            0.041673,            0.010346,             0.78743,             0.71259,             0.77813,             0.33664,            0.044456,            0.032405,           0.0087479,           0.0090557,           0.0090557,           0.0090557
                  23,            0.047332,            0.041725,            0.010237,             0.86026,             0.67713,             0.79241,             0.33575,            0.044985,            0.031977,           0.0083635,           0.0089673,           0.0089673,           0.0089673
                  24,             0.04714,            0.041306,            0.010177,             0.82163,             0.68483,             0.78489,             0.33097,            0.045142,            0.031501,           0.0089568,           0.0088755,           0.0088755,           0.0088755
                  25,            0.046907,            0.041535,            0.010083,             0.79948,             0.71613,             0.78334,             0.33366,            0.044659,            0.031694,           0.0084725,           0.0087804,           0.0087804,           0.0087804
                  26,            0.046335,            0.040862,              0.0098,             0.79768,             0.74607,              0.7997,             0.34611,            0.043891,            0.031335,           0.0082655,            0.008682,            0.008682,            0.008682
                  27,            0.046417,            0.041444,           0.0093898,             0.81154,             0.72609,             0.80722,             0.34463,            0.043478,            0.030645,           0.0084897,           0.0085805,           0.0085805,           0.0085805
                  28,            0.046006,             0.03963,           0.0097454,             0.77773,             0.77368,             0.81126,             0.35633,            0.044141,            0.030894,           0.0083254,           0.0084759,           0.0084759,           0.0084759
                  29,            0.045617,            0.041655,           0.0094136,             0.80733,             0.73361,             0.81841,             0.35972,            0.043376,            0.030569,           0.0088085,           0.0083684,           0.0083684,           0.0083684
                  30,             0.04546,            0.040546,           0.0091779,             0.83895,              0.7238,             0.81964,             0.37049,            0.042718,            0.030103,           0.0079881,           0.0082581,           0.0082581,           0.0082581
                  31,            0.045044,             0.03951,           0.0088369,              0.8184,             0.74252,             0.81618,             0.36588,            0.042629,            0.030165,           0.0080977,            0.008145,            0.008145,            0.008145
                  32,            0.044609,            0.039188,           0.0088673,             0.82507,             0.74557,             0.82454,              0.3711,            0.042246,            0.030073,           0.0079295,           0.0080294,           0.0080294,           0.0080294
                  33,            0.044686,            0.040656,           0.0085893,             0.80658,             0.73376,             0.80255,              0.3505,            0.043408,            0.030364,           0.0080809,           0.0079112,           0.0079112,           0.0079112
                  34,            0.044653,            0.039558,           0.0092181,             0.83359,              0.7445,             0.83252,             0.37231,            0.042252,            0.029625,            0.007603,           0.0077907,           0.0077907,           0.0077907
                  35,            0.044484,            0.040265,           0.0083906,             0.80536,             0.76369,             0.82639,             0.37596,            0.042438,            0.030194,           0.0076993,           0.0076679,           0.0076679,           0.0076679
                  36,            0.044407,             0.04013,           0.0085363,              0.8134,             0.75647,             0.82083,             0.37417,             0.04247,            0.030078,            0.007073,            0.007543,            0.007543,            0.007543
                  37,            0.044086,            0.039343,           0.0085774,             0.82568,             0.73548,             0.82248,             0.36938,            0.042583,            0.030009,           0.0083294,            0.007416,            0.007416,            0.007416
                  38,            0.043504,             0.03903,           0.0080793,             0.83058,             0.74468,             0.83329,             0.37459,             0.04217,            0.029462,           0.0070897,           0.0072872,           0.0072872,           0.0072872
                  39,            0.043906,            0.039854,           0.0079873,             0.85186,             0.73628,             0.84166,             0.38409,            0.041939,            0.029622,           0.0074554,           0.0071566,           0.0071566,           0.0071566
                  40,            0.043729,            0.040059,           0.0077731,             0.82031,             0.79047,             0.84038,             0.38438,            0.041502,            0.029555,           0.0069209,           0.0070243,           0.0070243,           0.0070243
                  41,             0.04361,            0.039852,           0.0079945,             0.83999,             0.76145,              0.8397,             0.38114,            0.041807,            0.029613,           0.0074161,           0.0068906,           0.0068906,           0.0068906
                  42,            0.043163,              0.0395,           0.0075631,             0.83329,             0.76743,             0.83987,             0.38355,            0.041702,            0.029205,           0.0076135,           0.0067555,           0.0067555,           0.0067555
                  43,            0.043265,            0.039463,           0.0079879,             0.85985,             0.74074,             0.83762,             0.38572,            0.041397,             0.02943,           0.0075229,           0.0066191,           0.0066191,           0.0066191
                  44,            0.043068,            0.038946,           0.0076782,             0.86555,             0.76828,             0.85102,             0.40056,            0.040753,              0.0293,           0.0070071,           0.0064816,           0.0064816,           0.0064816
